Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,SEGMENT,CITY,STATE,COUNTRY,Postal Code,MARKET,REGION,Product ID,CATEGORY,Sub-Category,Product Name,SALES,QUANTITY,Discount percentage,PROFIT,Shipping Cost,Order Priority,DISCOUNT,LAT,LONG
ORD-000000,2023-01-01,2023-01-02,Standard Class,CUST-00000,Customer 0,Home Office,Phoenix,NY,United States,65495,EU Market,South,PROD-000000,Furniture,Chairs,Product 0,943.83,6,0.15,409.76,32.68,Critical,1.45,-62.25595,-178.31445
ORD-000001,2023-01-02,2023-01-07,Same Day,CUST-00001,Customer 1,Consumer,Chicago,AZ,United States,75075,EU Market,West,PROD-000001,Office Supplies,Binders,Product 1,683.69,7,0.36,300.97,23.32,Low,38.99,68.33545,-167.43563
ORD-000002,2023-01-03,2023-01-04,Second Class,CUST-00002,Customer 2,Corporate,Chicago,CA,United States,13533,APAC Market,East,PROD-000002,Furniture,Phones,Product 2,948.85,5,0.00,60.37,19.16,Medium,47.24,31.25197,-9.46710
ORD-000003,2023-01-04,2023-01-11,Standard Class,CUST-00003,Customer 3,Consumer,Los Angeles,AZ,United States,49886,APAC Market,East,PROD-000003,Technology,Chairs,Product 3,837.45,2,0.44,366.04,10.74,Medium,13.29,24.93263,-166.39183
ORD-000004,2023-01-05,2023-01-09,First Class,CUST-00004,Customer 4,Corporate,New York,CA,United States,97989,EU Market,West,PROD-000004,Office Supplies,Chairs,Product 4,158.80,4,0.25,-39.77,36.55,Low,7.71,-14.41516,94.92989
ORD-000005,2023-01-06,2023-01-10,Standard Class,CUST-00005,Customer 5,Corporate,Chicago,TX,United States,96894,EU Market,East,PROD-000005,Office Supplies,Binders,Product 5,459.81,9,0.34,447.56,37.47,Medium,0.27,35.85497,-14.77638
ORD-000006,2023-01-07,2023-01-17,Standard Class,CUST-00006,Customer 6,Corporate,New York,CA,United States,83188,US Market,South,PROD-000006,Furniture,Chairs,Product 6,990.55,3,0.50,108.09,6.96,Medium,21.15,49.56148,57.44862
ORD-000007,2023-01-08,2023-01-18,Standard Class,CUST-00007,Customer 7,Home Office,Los Angeles,IL,United States,22373,EU Market,Central,PROD-000007,Furniture,Tables,Product 7,607.12,2,0.18,420.02,17.94,Critical,30.60,18.37722,146.85989
ORD-000008,2023-01-09,2023-01-10,First Class,CUST-00008,Customer 8,Home Office,Houston,TX,United States,76640,APAC Market,West,PROD-000008,Technology,Tables,Product 8,796.35,7,0.33,108.55,29.34,High,44.73,77.92736,63.36545
ORD-000009,2023-01-10,2023-01-17,Standard Class,CUST-00009,Customer 9,Home Office,New York,IL,United States,46727,APAC Market,Central,PROD-000009,Technology,Phones,Product 9,105.56,4,0.16,439.53,5.24,Critical,7.49,-3.39373,-3.91287
ORD-000010,2023-01-11,2023-01-20,First Class,CUST-00010,Customer 10,Corporate,Chicago,CA,United States,69596,APAC Market,Central,PROD-000010,Furniture,Phones,Product 10,723.23,3,0.07,460.70,18.20,Critical,42.50,83.34981,9.55417
ORD-000011,2023-01-12,2023-01-18,First Class,CUST-00011,Customer 11,Corporate,New York,AZ,United States,77840,EU Market,Central,PROD-000011,Furniture,Phones,Product 11,198.66,3,0.13,351.42,35.34,Medium,5.20,48.35200,63.79312
ORD-000012,2023-01-13,2023-01-16,First Class,CUST-00012,Customer 12,Consumer,New York,IL,United States,20757,US Market,East,PROD-000012,Furniture,Binders,Product 12,217.72,8,0.30,134.94,18.96,Low,30.50,-25.80884,62.90694
ORD-000013,2023-01-14,2023-01-19,Standard Class,CUST-00013,Customer 13,Home Office,Houston,NY,United States,66116,US Market,West,PROD-000013,Technology,Binders,Product 13,517.51,4,0.10,226.27,31.96,Medium,34.26,-42.55237,-160.88066
ORD-000014,2023-01-15,2023-01-24,First Class,CUST-00014,Customer 14,Home Office,Los Angeles,IL,United States,57975,EU Market,West,PROD-000014,Furniture,Tables,Product 14,694.49,2,0.22,171.94,48.17,High,30.31,-60.98832,63.36117
ORD-000015,2023-01-16,2023-01-23,Same Day,CUST-00015,Customer 15,Corporate,Los Angeles,IL,United States,18113,EU Market,Central,PROD-000015,Office Supplies,Chairs,Product 15,235.06,6,0.12,387.95,5.99,Low,14.03,-8.56598,-171.79057
ORD-000016,2023-01-17,2023-01-18,Same Day,CUST-00016,Customer 16,Consumer,Houston,CA,United States,87163,US Market,South,PROD-000016,Office Supplies,Chairs,Product 16,773.00,6,0.27,13.02,35.26,Low,2.45,80.95343,64.94936
ORD-000017,2023-01-18,2023-01-19,Standard Class,CUST-00017,Customer 17,Home Office,Chicago,CA,United States,94195,EU Market,East,PROD-000017,Office Supplies,Binders,Product 17,835.41,1,0.13,168.78,46.16,Medium,5.97,83.34772,-91.11036
ORD-000018,2023-01-19,2023-01-21,Standard Class,CUST-00018,Customer 18,Corporate,Chicago,TX,United States,83681,US Market,South,PROD-000018,Technology,Tables,Product 18,390.31,4,0.30,31.26,24.95,High,17.62,48.73710,-41.68044
ORD-000019,2023-01-20,2023-01-24,First Class,CUST-00019,Customer 19,Corporate,New York,TX,United States,76869,US Market,Central,PROD-000019,Office Supplies,Bookcases,Product 19,121.66,7,0.22,26.60,25.29,Medium,43.76,-78.70345,77.76917
ORD-000020,2023-01-21,2023-01-28,First Class,CUST-00020,Customer 20,Home Office,Chicago,TX,United States,99829,APAC Market,East,PROD-000020,Office Supplies,Bookcases,Product 20,359.34,4,0.35,279.80,46.65,Critical,17.04,-22.29280,-155.06415
ORD-000021,2023-01-22,2023-01-31,First Class,CUST-00021,Customer 21,Consumer,Los Angeles,IL,United States,33200,US Market,East,PROD-000021,Technology,Tables,Product 21,455.82,9,0.38,-10.61,44.80,High,13.64,79.96571,-170.21220
ORD-000022,2023-01-23,2023-01-28,Second Class,CUST-00022,Customer 22,Home Office,Los Angeles,AZ,United States,47489,APAC Market,Central,PROD-000022,Furniture,Phones,Product 22,281.01,8,0.40,298.75,43.96,Medium,30.65,12.48617,-120.17518
ORD-000023,2023-01-24,2023-02-01,First Class,CUST-00023,Customer 23,Consumer,Houston,TX,United States,49683,APAC Market,West,PROD-000023,Office Supplies,Binders,Product 23,487.20,7,0.13,218.07,39.24,High,14.98,-37.37392,78.92831
ORD-000024,2023-01-25,2023-01-28,Same Day,CUST-00024,Customer 24,Corporate,New York,AZ,United States,27407,EU Market,East,PROD-000024,Technology,Bookcases,Product 24,809.50,7,0.36,246.60,14.66,Critical,24.40,12.20797,-142.42541
ORD-000025,2023-01-26,2023-01-29,Same Day,CUST-00025,Customer 25,Corporate,Los Angeles,AZ,United States,25870,EU Market,East,PROD-000025,Technology,Tables,Product 25,998.41,5,0.48,467.87,25.12,Medium,15.40,83.13681,-8.25036
ORD-000026,2023-01-27,2023-01-31,Standard Class,CUST-00026,Customer 26,Corporate,Houston,CA,United States,53528,EU Market,Central,PROD-000026,Office Supplies,Chairs,Product 26,683.51,9,0.42,355.10,45.38,Critical,48.26,-63.57605,-5.26787
ORD-000027,2023-01-28,2023-02-03,Second Class,CUST-00027,Customer 27,Corporate,Chicago,IL,United States,26188,EU Market,South,PROD-000027,Furniture,Phones,Product 27,653.77,4,0.20,115.57,18.11,Low,38.76,-83.57368,14.81445
ORD-000028,2023-01-29,2023-02-05,Second Class,CUST-00028,Customer 28,Home Office,Chicago,TX,United States,89340,EU Market,West,PROD-000028,Technology,Tables,Product 28,329.68,2,0.44,-11.29,39.02,Low,35.27,52.59452,118.32045
ORD-000029,2023-01-30,2023-02-09,Standard Class,CUST-00029,Customer 29,Home Office,Phoenix,IL,United States,98636,EU Market,West,PROD-000029,Office Supplies,Phones,Product 29,872.17,5,0.43,343.14,23.74,Critical,19.34,28.64542,138.32932
ORD-000030,2023-01-31,2023-02-08,Second Class,CUST-00030,Customer 30,Consumer,Chicago,AZ,United States,25568,EU Market,West,PROD-000030,Office Supplies,Bookcases,Product 30,220.03,4,0.01,148.75,13.05,Critical,18.51,19.15156,-139.42538
ORD-000031,2023-02-01,2023-02-02,Second Class,CUST-00031,Customer 31,Corporate,Phoenix,CA,United States,31707,APAC Market,South,PROD-000031,Technology,Bookcases,Product 31,825.96,5,0.11,128.09,11.94,Low,11.92,49.31975,-100.13350
ORD-000032,2023-02-02,2023-02-12,Second Class,CUST-00032,Customer 32,Corporate,Los Angeles,NY,United States,53966,APAC Market,Central,PROD-000032,Furniture,Tables,Product 32,23.53,2,0.03,257.78,8.38,Critical,36.63,37.55165,167.96339
ORD-000033,2023-02-03,2023-02-08,Same Day,CUST-00033,Customer 33,Consumer,New York,CA,United States,63457,APAC Market,Central,PROD-000033,Technology,Tables,Product 33,179.49,4,0.07,97.25,30.67,High,27.96,36.15588,175.49342
ORD-000034,2023-02-04,2023-02-10,First Class,CUST-00034,Customer 34,Consumer,Los Angeles,IL,United States,34173,APAC Market,South,PROD-000034,Office Supplies,Chairs,Product 34,405.56,2,0.13,437.90,5.20,Low,45.07,85.21406,140.03508
